"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4388311567","linkedin","https://www.linkedin.com/jobs/view/4388311567","","Software Engineer II","Akamai Technologies","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/akamai-technologies","","","","","","","","","","","",""
"li-4388169078","linkedin","https://www.linkedin.com/jobs/view/4388169078","","SDE, Alexa+ AI Agent, ACT","Amazon","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4388328724","linkedin","https://www.linkedin.com/jobs/view/4388328724","","Software Engineer III","Walmart Global Tech India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/walmartglobaltechindia","","","","","","","","","","","",""
"li-4388166179","linkedin","https://www.linkedin.com/jobs/view/4388166179","","SDE, Alexa+ AI Agent, ACT","Amazon","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4387902583","linkedin","https://www.linkedin.com/jobs/view/4387902583","","Software Engineer 2","Euromonitor International","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/euromonitor-international","","","","","","","","","","","",""
"li-4388163317","linkedin","https://www.linkedin.com/jobs/view/4388163317","","SDE, Alexa+ AI Agent, ACT","Amazon","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
"li-4387776832","linkedin","https://www.linkedin.com/jobs/view/4387776832","","Lead Software Engineer - Java & AWS","hackajob","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/hackajob","","","","","","","","","","","",""
"li-4388316267","linkedin","https://www.linkedin.com/jobs/view/4388316267","","Python Test Development","Sourcebae","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/sourcebae","","","","","","","","","","","",""
"li-4387923295","linkedin","https://www.linkedin.com/jobs/view/4387923295","","Principal Staff Software Engineer, Machine Learning","LinkedIn","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387798426","linkedin","https://www.linkedin.com/jobs/view/4387798426","","AI & Agentic System Support Engineer (Google ADK, Python)","Brillio","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/brillio","","","","","","","","","","","",""
"li-4387780852","linkedin","https://www.linkedin.com/jobs/view/4387780852","","SOFTWARE ENGINEER- PYTHON- DIGITAL LENDING","OakNorth in India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/oaknorth-in-india","","","","","","","","","","","",""
"li-4387912489","linkedin","https://www.linkedin.com/jobs/view/4387912489","","Senior Associate Software Engineer","Light & Wonder","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lightnwonder","","","","","","","","","","","",""
"li-4387773932","linkedin","https://www.linkedin.com/jobs/view/4387773932","","Data Bricks Engineer - GO/JC/1800/2025","Golden Opportunities","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/golden-opportunities-pvt-ltd","","","","","","","","","","","",""
"li-4387767512","linkedin","https://www.linkedin.com/jobs/view/4387767512","","Calfus Inc - Senior Software Engineer - Python &amp; Gen AI","Calfus Inc.","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/calfusinc","","","","","","","","","","","",""
"li-4388166257","linkedin","https://www.linkedin.com/jobs/view/4388166257","","SDE, Alexa+ AI Agent, ACT","Amazon","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/amazon","","","","","","","","","","","",""
